Nome,Telefone,Nota,Qtd Reviews,Link Google Maps
"Clínica Serenity Estética e Emagrecimento","011944300852",4.7,0,"https://www.google.com/maps/place/Cl%C3%ADnica+Serenity+Est%C3%A9tica+e+Emagrecimento/data=!4m7!3m6!1s0x94ce598ef67bca01:0xd138ce8daf730bdf!8m2!3d-23.5666017!4d-46.6508013!16s%2Fg%2F11w_hgy_5y!19sChIJAcp79o5ZzpQR3wtzr43OONE?authuser=0&hl=pt-BR&rclk=1"
"Clínica Estética Soul Derma","011988932639",4.8,0,"https://www.google.com/maps/place/Cl%C3%ADnica+Est%C3%A9tica+Soul+Derma/data=!4m7!3m6!1s0x94ce59122585dfd9:0xe0ed01c33cbee635!8m2!3d-23.5668007!4d-46.6505298!16s%2Fg%2F11hdk_ptdk!19sChIJ2d-FJRJZzpQRNea-PMMB7eA?authuser=0&hl=pt-BR&rclk=1"
"GIO Estética Avançada e Depilação a Laser | Unidade Jardins - SP","011910521022",4.7,0,"https://www.google.com/maps/place/GIO+Est%C3%A9tica+Avan%C3%A7ada+e+Depila%C3%A7%C3%A3o+a+Laser+%7C+Unidade+Jardins+-+SP/data=!4m7!3m6!1s0x94ce59c7a43a47a9:0xdb0dc3b8031f490f!8m2!3d-23.566076!4d-46.6527205!16s%2Fg%2F11b6glz0sw!19sChIJqUc6pMdZzpQRD0kfA7jDDds?authuser=0&hl=pt-BR&rclk=1"
"ESTÉTICA GLOBAL - Ultraformer MPT, Depilação a Laser, Laser Co2, Peeling, Bioestimulador, Elleva, Microfocado Hipro","01143800840",4.3,0,"https://www.google.com/maps/place/EST%C3%89TICA+GLOBAL+-+Ultraformer+MPT,+Depila%C3%A7%C3%A3o+a+Laser,+Laser+Co2,+Peeling,+Bioestimulador,+Elleva,+Microfocado+Hipro/data=!4m7!3m6!1s0x94ce5916ac653515:0x679456ba98cb8a2e!8m2!3d-23.56572!4d-46.6521508!16s%2Fg%2F11g25x98gb!19sChIJFTVlrBZZzpQRLorLmLpWlGc?authuser=0&hl=pt-BR&rclk=1"
"Azuri Estética Avançada","01126389816",4.8,0,"https://www.google.com/maps/place/Azuri+Est%C3%A9tica+Avan%C3%A7ada/data=!4m7!3m6!1s0x94ce59be85721c57:0x4023f4e6725081e4!8m2!3d-23.5665687!4d-46.6496033!16s%2Fg%2F11jcxvb3zj!19sChIJVxxyhb5ZzpQR5IFQcub0I0A?authuser=0&hl=pt-BR&rclk=1"
"Aura Estética Integrada","011945003963",4.5,0,"https://www.google.com/maps/place/Aura+Est%C3%A9tica+Integrada/data=!4m7!3m6!1s0x94ce59f83ef81ea5:0xa6818ebd5f3751fa!8m2!3d-23.5665641!4d-46.650928!16s%2Fg%2F11vr994fjv!19sChIJpR74PvhZzpQR-lE3X72OgaY?authuser=0&hl=pt-BR&rclk=1"
"Beauty House","011994954409",4,0,"https://www.google.com/maps/place/Beauty+House/data=!4m7!3m6!1s0x94ce59c69f406655:0x6d48126a761f59b2!8m2!3d-23.5687258!4d-46.655763!16s%2Fg%2F1ptyn6qkh!19sChIJVWZAn8ZZzpQRslkfdmoSSG0?authuser=0&hl=pt-BR&rclk=1"
"Letícia Nanci I Dermatology Institute","01130713628",4.4,23,"https://www.google.com/maps/place/Let%C3%ADcia+Nanci+I+Dermatology+Institute/data=!4m7!3m6!1s0x94ce5768443b2003:0xc26521b9b5b1f661!8m2!3d-23.582095!4d-46.681811!16s%2Fg%2F11g69_lhql!19sChIJAyA7RGhXzpQRYfaxtbkhZcI?authuser=0&hl=pt-BR&rclk=1"
"Onodera Estética - Jardins","011930948202",4.4,85,"https://www.google.com/maps/place/Onodera+Est%C3%A9tica+-+Jardins/data=!4m7!3m6!1s0x94ce59259ce6ebbd:0x6fc0e6b06cf6f29b!8m2!3d-23.5744795!4d-46.6599708!16s%2Fg%2F11g__j0m0!19sChIJvevmnCVZzpQRm_L2bLDmwG8?authuser=0&hl=pt-BR&rclk=1"
"Estética Paulista","01125071247",3.7,44,"https://www.google.com/maps/place/Est%C3%A9tica+Paulista/data=!4m7!3m6!1s0x94ce59c7d5e6b875:0x355bdfce522584f0!8m2!3d-23.5644591!4d-46.653437!16s%2Fg%2F11b809g3b_!19sChIJdbjm1cdZzpQR8IQlUs7fWzU?authuser=0&hl=pt-BR&rclk=1"
